City,lantitude,longitude,Venue,Venue Category
Phoenix,33.5722,-112.0901,Ming's Pagoda Chinese Restaurant,Chinese Restaurant
Phoenix,33.5722,-112.0901,Himalayan Restaurant,Indian Restaurant
Phoenix,33.5722,-112.0901,Pappadeaux Seafood Kitchen,Seafood Restaurant
Phoenix,33.5722,-112.0901,McDonald's,Fast Food Restaurant
Phoenix,33.5722,-112.0901,"Whataburger Restaurants - Phoenix, America West Arena",Burger Joint
Phoenix,33.5722,-112.0901,Coffee Plantation The - Restaurants,Coffee Shop
Philadelphia,40.0094,-75.1333,Jhoandra Restaurant,Latin American Restaurant
Philadelphia,40.0094,-75.1333,Maria's Restaurant,Latin American Restaurant
Philadelphia,40.0094,-75.1333,Milan's Restaurant,American Restaurant
Philadelphia,40.0094,-75.1333,Vialdi Latin Restaurant,Spanish Restaurant
Philadelphia,40.0094,-75.1333,Porky's Point Restaurant,BBQ Joint
Philadelphia,40.0094,-75.1333,Punta Cana Restaurant,Food
Philadelphia,40.0094,-75.1333,La Mania Restaurant Restaurante,Food
Philadelphia,40.0094,-75.1333,Seorabol Korean Restaurant,Korean Restaurant
Philadelphia,40.0094,-75.1333,Kensington Diner / Restaurant,Diner
Philadelphia,40.0094,-75.1333,Amigo’s Restaurant & Pizza,Pizza Place
Philadelphia,40.0094,-75.1333,Petes Latin-American Pizza Parlor and Restaurant,Pizza Place
Philadelphia,40.0094,-75.1333,PRINCE PIZZA & Restaurant,Pizza Place
Philadelphia,40.0094,-75.1333,Delicias Restaurant,Food
Philadelphia,40.0094,-75.1333,Sunshine Restaurant,Spanish Restaurant
Philadelphia,40.0094,-75.1333,4seasons Restaurant,American Restaurant
Philadelphia,40.0094,-75.1333,Lin Feng Restaurant,Food
Philadelphia,40.0094,-75.1333,La Reina Restaurant,Food
Philadelphia,40.0094,-75.1333,Imperial Garden Restaurant,Chinese Restaurant
Philadelphia,40.0094,-75.1333,Geovanna's Pizzaria & Restaurant,Pizza Place
Philadelphia,40.0094,-75.1333,Black Pearl Bar & Restaurant,Bar
Philadelphia,40.0094,-75.1333,Taqueria Mexican Restaurant,Mexican Restaurant
Philadelphia,40.0094,-75.1333,Eddie's Chinese Restaurant,Chinese Restaurant
Philadelphia,40.0094,-75.1333,Chocolate Bakery & Restaurant,Food & Drink Shop
Philadelphia,40.0094,-75.1333,New Quality Restaurant And Pizzeria,American Restaurant
Philadelphia,40.0094,-75.1333,Good Taste Chinese Restaurant,Chinese Restaurant
Philadelphia,40.0094,-75.1333,Costa Esmeralda Restaurant,Food
Philadelphia,40.0094,-75.1333,Rising Sun Chinese Restaurant,Chinese Restaurant
Philadelphia,40.0094,-75.1333,Restaurant Depot,Kitchen Supply Store
Philadelphia,40.0094,-75.1333,Hao Sam Restaurant,Food
Philadelphia,40.0094,-75.1333,Iberia Restaurant & Bar,Restaurant
Philadelphia,40.0094,-75.1333,El Placer Restaurant,Spanish Restaurant
Philadelphia,40.0094,-75.1333,Stella's Restaurant Pizzaria and Bakery,Food
Philadelphia,40.0094,-75.1333,Hot Wok Chinese Restaurant,Chinese Restaurant
Philadelphia,40.0094,-75.1333,East Asian Cuisine Restaurant,Asian Restaurant
Philadelphia,40.0094,-75.1333,Allegheny Restaurant Equipment,Food
Philadelphia,40.0094,-75.1333,Picassos Pizza and Restaurant,Pizza Place
Philadelphia,40.0094,-75.1333,Lil' Palmtree Restaurant,Food
Philadelphia,40.0094,-75.1333,New Hollywood Chinese Take Out Restaurant,Food
Philadelphia,40.0094,-75.1333,Yu Lee Chinese Restaurant,Chinese Restaurant
Philadelphia,40.0094,-75.1333,Alamoura Sweet and Restaurant,Food
Philadelphia,40.0094,-75.1333,Parada Take Out Restaurant,Restaurant
Philadelphia,40.0094,-75.1333,Ranchito Restaurant,Restaurant
Philadelphia,40.0094,-75.1333,Rincon Restaurant,Food
Philadelphia,40.0094,-75.1333,Chung Wha Chinese Restaurant,Food
Philadelphia,40.0094,-75.1333,Ming River Chinese Restaurant,Chinese Restaurant
