City,1st Most Common Res,2nd Most Common Res,3rd Most Common Res,4th Most Common Res,5th Most Common Res,Cluster Labels,2019estimate,2016 population density,lantitude,longitude
Jackson,Chinese Restaurant,American Restaurant,Bar,Vietnamese Restaurant,Thai Restaurant,0,0.019267305495610614,0.047935470115841095,32.3158,90.2128
Jacksonville,Caribbean Restaurant,American Restaurant,Mexican Restaurant,Chinese Restaurant,Thai Restaurant,0,0.10933513354077462,0.03564067941155568,30.3369,81.6616
Jersey City,Chinese Restaurant,Latin American Restaurant,Italian Restaurant,Indian Restaurant,American Restaurant,4,0.031435858553690216,0.6279937460024163,40.7114,74.0648
Joliet,American Restaurant,Mexican Restaurant,Italian Restaurant,Japanese Restaurant,Chinese Restaurant,0,0.01767389160635288,0.07558098216189325,41.5177,88.1488
Jurupa Valley,American Restaurant,Pizza Place,Mexican Restaurant,Italian Restaurant,Chinese Restaurant,0,0.013137747895869611,0.079560798806055,34.0026,117.4676
Kansas City,Chinese Restaurant,Vietnamese Restaurant,Thai Restaurant,Mexican Restaurant,Italian Restaurant,3,0.05941440240321936,0.04807760642456115,39.1251,94.551
Kansas City,Chinese Restaurant,Vietnamese Restaurant,Thai Restaurant,Mexican Restaurant,Italian Restaurant,3,0.018347529998559403,0.03699097434439628,39.1225,94.7418
Kansas City,Chinese Restaurant,Vietnamese Restaurant,Thai Restaurant,Mexican Restaurant,Italian Restaurant,3,0.05941440240321936,0.04807760642456115,39.1251,94.551
Kansas City,Chinese Restaurant,Vietnamese Restaurant,Thai Restaurant,Mexican Restaurant,Italian Restaurant,3,0.018347529998559403,0.03699097434439628,39.1225,94.7418
Kent,Chinese Restaurant,Mexican Restaurant,Thai Restaurant,American Restaurant,Italian Restaurant,1,0.015871645017516877,0.12824248454267642,47.388000000000005,122.2127
Killeen,Italian Restaurant,American Restaurant,Thai Restaurant,Mexican Restaurant,Indian Restaurant,0,0.018192314884685607,0.08901286333593916,31.0777,97.73200000000001
Knoxville,American Restaurant,Italian Restaurant,Indian Restaurant,Breakfast Spot,Pizza Place,0,0.022502952865584073,0.06097647644090683,35.9707,83.9493
Lafayette,Mexican Restaurant,Italian Restaurant,Thai Restaurant,Seafood Restaurant,Latin American Restaurant,1,0.015135872599818372,0.07806836756449435,30.2074,92.0285
Lakeland,American Restaurant,Caribbean Restaurant,Breakfast Spot,Thai Restaurant,Mexican Restaurant,0,0.013450697070596608,0.05116907113922251,28.0555,81.9549
Lakewood,Pizza Place,Mexican Restaurant,Italian Restaurant,Indian Restaurant,Chinese Restaurant,1,0.018944280532966,0.12166868026437354,39.6989,105.1176
Lakewood,Pizza Place,Mexican Restaurant,Italian Restaurant,Indian Restaurant,Chinese Restaurant,1,0.012750669710034418,0.13872503731078104,40.0771,74.2004
Lakewood,Pizza Place,Mexican Restaurant,Italian Restaurant,Indian Restaurant,Chinese Restaurant,1,0.018944280532966,0.12166868026437354,39.6989,105.1176
Lakewood,Pizza Place,Mexican Restaurant,Italian Restaurant,Indian Restaurant,Chinese Restaurant,1,0.012750669710034418,0.13872503731078104,40.0771,74.2004
Lancaster,Mexican Restaurant,Thai Restaurant,Bar,Sushi Restaurant,Latin American Restaurant,2,0.018904217281007846,0.054118399545163814,34.6936,118.1753
Lansing,Mexican Restaurant,Chinese Restaurant,Bar,American Restaurant,Vietnamese Restaurant,1,0.014179272496925386,0.09921114348660365,42.7143,84.5593
Laredo,Mexican Restaurant,Seafood Restaurant,Sushi Restaurant,Chinese Restaurant,Bar,2,0.03148575769385366,0.08418022883945704,27.5604,99.4892
Las Cruces,Mexican Restaurant,Italian Restaurant,American Restaurant,Vietnamese Restaurant,Thai Restaurant,2,0.012406653522561428,0.04079312060265795,32.3264,106.7897
Las Vegas,Mexican Restaurant,Chinese Restaurant,Italian Restaurant,Thai Restaurant,Seafood Restaurant,1,0.07812562036566234,0.16111150593419088,36.2292,115.2601
League City,Mexican Restaurant,Chinese Restaurant,Sushi Restaurant,Vietnamese Restaurant,Thai Restaurant,2,0.01289892773225081,0.06456541823608841,29.4901,95.1091
Lewisville,Mexican Restaurant,Italian Restaurant,Chinese Restaurant,Vietnamese Restaurant,Thai Restaurant,1,0.013099963691178539,0.09512472461090185,33.0466,96.9818
Lexington,Mexican Restaurant,American Restaurant,Japanese Restaurant,Thai Restaurant,Sushi Restaurant,1,0.03876203591850463,0.03368630516665482,38.0407,84.4583
Lincoln,Mexican Restaurant,American Restaurant,Pizza Place,Vietnamese Restaurant,Thai Restaurant,1,0.034677743316184104,0.10194726742946486,40.8105,96.6803
Little Rock,Mexican Restaurant,Vietnamese Restaurant,Korean Restaurant,Chinese Restaurant,Thai Restaurant,2,0.02366754601906219,0.05323004761566342,34.7254,92.3586
Long Beach,Mexican Restaurant,Thai Restaurant,Japanese Restaurant,Chinese Restaurant,American Restaurant,1,0.05549216205657387,0.3259185558951034,33.8092,118.1553
